enabled,name,red,green,blue
false,red,255,0,0
false,blue,0,0,255
false,green,0,0,255
false,cyan,0,255,255
false,magenta,255,0,255
false,yellow,255,255,0
false,white,255,255,255
true,black,0,0,0
true,brown,92,35,18
true,blue,82,97,180
true,orange,239,102,1
true,skyblue,0,138,181
true,green,0,103,65
true,yellow,234,218,1
true,pink,242,134,157
true,middleblue,0,100,186
true,lightorange,241,146,0
true,red,229,30,0
true,lightgreen,148,202,108
true,purple,39,29,102
true,lightgreen,148,199,107
true,grey,225,221,218
